psi_deg,Vr,Vpsi,Mach,p_over_p1,T_over_T1,rho_over_rho1
45,0.800285081342738,-0.800285081342738,1.13177401579976,2.5856980319993,1.31500717271113,1.96629956524754
44.8,0.797491914912772,-0.800078842013298,1.12965459667483,2.5926229356911,1.31602138593908,1.97004620395365
44.6,0.794699495111044,-0.799857308307057,1.12752782723175,2.59958277513608,1.31703877496814,1.9738088388468
44.4,0.791907875184215,-0.79962056091995,1.12539376407758,2.60657744358867,1.31805930391402,1.97758737854083
44.2,0.789117108096933,-0.799368680736646,1.12325246406759,2.6136068316096,1.31908293667687,1.98138173039672
44,0.786327246531185,-0.79910174882376,1.12110398429874,2.62067082705964,1.32010963694503,1.98519180052677
43.8,0.783538342885677,-0.798819846423127,1.11894838210326,2.6277693150936,1.32113936819871,1.98901749379886
43.6,0.780750449275228,-0.798523054945114,1.11678571504221,2.63490217815459,1.32217209371369,1.99285871384089
43.4,0.777963617530199,-0.798211455961988,1.11461604089912,2.64206929596863,1.32320777656507,1.9967153630454
43.2,0.775177899195936,-0.797885131201339,1.11243941767361,2.6492705455395,1.32424637963099,2.00058734257422
43,0.77239334553224,-0.797544162539547,1.11025590357511,2.656505801144,1.3252878655964,2.00447455236341
42.8,0.769610007512861,-0.797188631995306,1.10806555701659,2.66377493432739,1.32633219695679,2.00837689112825
42.6,0.766827935825009,-0.796818621723198,1.10586843660831,2.67107781389927,1.32737933602202,2.01229425636844
42.4,0.764047180868893,-0.79643421400732,1.10366460115162,2.67841430592971,1.32842924492006,2.01622654437338
42.2,0.761267792757281,-0.796035491254963,1.10145410963284,2.68578427374577,1.32948188560078,2.02017365022772
42,0.758489821315076,-0.795622535990344,1.09923702121712,2.69318757792829,1.33053721983982,2.02413546781691
41.8,0.755713316078925,-0.795195430848394,1.09701339524236,2.70062407630913,1.33159520924234,2.02811188983307
41.6,0.75293832629684,-0.794754258568592,1.0947832912132,2.70809362396863,1.33265581524686,2.03210280778086
41.4,0.750164900927842,-0.794299101988862,1.092546768795,2.71559607323353,1.33371899912914,2.03610811198363
41.2,0.747393088641634,-0.793830044039517,1.09030388780792,2.72313127367522,1.33478472200598,2.04012769158967
41,0.744622937818282,-0.793347167737257,1.08805470822099,2.73069907210831,1.33585294483907,2.04416143457862
40.8,0.741854496547927,-0.792850556179228,1.08579929014624,2.73829931258968,1.33692362843891,2.04820922776802
40.6,0.739087812630516,-0.792340292537124,1.08353769383293,2.7459318364178,1.3379967334686,2.05227095682012
40.4,0.736322933575549,-0.791816460051358,1.08126997966168,2.75359648213248,1.33907222044778,2.0563465062487
40.2,0.733559906601852,-0.79127914202527,1.07899620813883,2.76129308551502,1.34015004975649,2.06043575942616
40,0.730798778637365,-0.790728421819408,1.07671643989069,2.76902147958875,1.34123018163905,2.06453859859078
39.8,0.728039596318953,-0.790164382845849,1.07443073565792,2.77678149461993,1.342312576208,2.06865490485403
39.6,0.725282405992236,-0.789587108562583,1.07213915628994,2.7845729581191,1.34339719344794,2.07278455820819
39.4,0.722527253711441,-0.78899668246795,1.06984176273934,2.79239569484286,1.34448399321949,2.07692743753401
39.2,0.719774185239266,-0.788393188095131,1.06753861605642,2.80024952679595,1.3455729352632,2.08108342060864
39,0.71702324604677,-0.787776709006696,1.06522977738367,2.8081342732339,1.34666397920344,2.08525238411361
38.8,0.714274481313282,-0.787147328789206,1.06291530795042,2.81604975066599,1.34775708455236,2.08943420364309
